timestamp,scenario,phase,ue_count,cpu_upf_pct,upf_replicas,pod_restarts,lat_p50_ms,lat_p95_ms,lat_p99_ms
2026-04-28 16:34:11.872086+00:00,flash_crowd,init,0,,,,0.914,6.874,9.855
2026-04-28 16:34:56.765731+00:00,flash_crowd,baseline_rep1,10,,5.0,1.0,1.42,8.948,10.27
2026-04-28 16:35:38.750362+00:00,flash_crowd,spike_rep1,200,,5.0,1.0,0.292,1.851,2.754
2026-04-28 16:36:32.906364+00:00,flash_crowd,recovery_rep1,10,72.816,5.0,1.0,0.196,2.158,2.544
2026-04-28 16:37:12.600641+00:00,flash_crowd,recovery_rep1,10,57.846,5.0,1.0,0.617,4.648,6.546
2026-04-28 16:37:53.508504+00:00,flash_crowd,recovery_rep1,10,54.008,5.0,1.0,0.51,8.354,10.871
2026-04-28 16:38:34.274902+00:00,flash_crowd,recovery_rep1,10,94.421,5.0,1.0,0.216,0.467,0.515
2026-04-28 16:39:13.993991+00:00,flash_crowd,baseline_rep2,10,96.942,5.0,1.0,0.891,10.438,13.128
2026-04-28 16:39:55.049612+00:00,flash_crowd,spike_rep2,200,,5.0,1.0,0.669,2.055,2.131
2026-04-28 16:40:44.186322+00:00,flash_crowd,spike_rep2,200,100.461,5.0,1.0,0.249,2.912,4.462
2026-04-28 16:41:26.030428+00:00,flash_crowd,recovery_rep2,10,66.58,5.0,1.0,0.204,0.599,0.748
2026-04-28 16:42:05.618123+00:00,flash_crowd,recovery_rep2,10,97.777,5.0,1.0,0.198,1.033,1.207
2026-04-28 16:42:45.273706+00:00,flash_crowd,recovery_rep2,10,97.934,5.0,1.0,0.251,7.587,12.157
2026-04-28 16:43:24.884081+00:00,flash_crowd,recovery_rep2,10,98.536,5.0,1.0,0.361,3.731,4.53
2026-04-28 16:44:04.889200+00:00,flash_crowd,baseline_rep3,10,98.278,5.0,1.0,0.184,0.866,1.109
2026-04-28 16:44:44.566232+00:00,flash_crowd,spike_rep3,200,96.933,5.0,1.0,0.314,1.792,2.567
2026-04-28 16:45:25.587625+00:00,flash_crowd,spike_rep3,200,96.171,5.0,1.0,0.379,55.616,91.123
2026-04-28 16:46:09.295521+00:00,flash_crowd,recovery_rep3,10,94.712,5.0,1.0,1.043,13.058,20.212
2026-04-28 16:46:49.947381+00:00,flash_crowd,recovery_rep3,10,63.442,5.0,1.0,0.396,1.946,2.685
2026-04-28 16:47:39.050292+00:00,flash_crowd,recovery_rep3,10,87.556,5.0,1.0,0.307,2.583,3.613
2026-04-28 16:48:18.710584+00:00,flash_crowd,baseline_rep4,10,96.81,5.0,1.0,0.28,0.805,0.85
2026-04-28 16:48:58.275925+00:00,flash_crowd,baseline_rep4,10,93.987,5.0,1.0,0.342,0.967,1.089
2026-04-28 16:49:38.179849+00:00,flash_crowd,spike_rep4,200,98.389,5.0,1.0,0.269,0.853,0.971
2026-04-28 16:50:19.375126+00:00,flash_crowd,spike_rep4,200,100.57,5.0,1.0,0.496,4.237,5.439
2026-04-28 16:51:04.267102+00:00,flash_crowd,recovery_rep4,10,63.075,5.0,1.0,0.231,0.699,0.82
2026-04-28 16:51:46.509985+00:00,flash_crowd,recovery_rep4,10,74.412,5.0,1.0,0.469,1.869,1.974
2026-04-28 16:52:27.032543+00:00,flash_crowd,recovery_rep4,10,91.354,5.0,1.0,0.508,2.37,2.986
2026-04-28 16:53:07.517290+00:00,flash_crowd,baseline_rep5,10,94.116,5.0,1.0,0.275,2.818,4.244
2026-04-28 16:53:48.947437+00:00,flash_crowd,spike_rep5,200,96.097,5.0,1.0,1.209,4.865,5.733
2026-04-28 16:54:29.592015+00:00,flash_crowd,spike_rep5,200,,,1.0,1.338,12.1,12.82
2026-04-28 16:55:29.050917+00:00,flash_crowd,recovery_rep5,10,97.359,5.0,1.0,0.595,1.368,1.394
2026-04-28 16:56:12.204472+00:00,flash_crowd,recovery_rep5,10,86.09,5.0,1.0,0.53,2.041,2.768
2026-04-28 16:56:54.551202+00:00,flash_crowd,recovery_rep5,10,88.296,5.0,1.0,0.715,4.555,5.999
2026-04-28 16:57:39.377094+00:00,flash_crowd,complete,0,83.41,5.0,1.0,0.877,3.569,4.21
